x	y	free_carbon	bound_carbon	animals	plants
5	5	155210	0	149	301
15	5	155210	0	99	312
25	5	155210	0	131	334
35	5	155210	0	118	288
45	5	155210	0	122	275
55	5	155210	0	116	291
65	5	155210	0	125	301
75	5	155210	0	125	313
85	5	155210	0	122	335
95	5	155210	0	124	285
5	15	155210	0	139	290
15	15	155210	0	116	294
25	15	155210	0	140	275
35	15	155210	0	121	316
45	15	155210	0	152	298
55	15	155210	0	128	293
65	15	155210	0	121	334
75	15	155210	0	128	312
85	15	155210	0	110	311
95	15	155210	0	120	295
5	25	155210	0	112	304
15	25	155210	0	130	290
25	25	155210	0	133	292
35	25	155210	0	120	332
45	25	155210	0	123	310
55	25	155210	0	111	284
65	25	155210	0	108	275
75	25	155210	0	115	276
85	25	155210	0	106	283
95	25	155210	0	122	301
5	35	155210	0	120	300
15	35	155210	0	108	308
25	35	155210	0	106	295
35	35	155210	0	109	274
45	35	155210	0	126	286
55	35	155210	0	110	296
65	35	155210	0	96	306
75	35	155210	0	126	316
85	35	155210	0	126	263
95	35	155210	0	118	263
5	45	155210	0	116	296
15	45	155210	0	117	317
25	45	155210	0	109	315
35	45	155210	0	125	297
45	45	155210	0	120	303
55	45	155210	0	109	293
65	45	155210	0	114	273
75	45	155210	0	111	318
85	45	155210	0	112	290
95	45	155210	0	132	278
5	55	155210	0	117	306
15	55	155210	0	118	299
25	55	155210	0	131	263
35	55	155210	0	140	299
45	55	155210	0	122	295
55	55	155210	0	140	300
65	55	155210	0	117	309
75	55	155210	0	113	307
85	55	155210	0	116	312
95	55	155210	0	118	294
5	65	155210	0	118	272
15	65	155210	0	114	314
25	65	155210	0	124	277
35	65	155210	0	139	297
45	65	155210	0	141	289
55	65	155210	0	124	285
65	65	155210	0	148	288
75	65	155210	0	137	271
85	65	155210	0	131	275
95	65	155210	0	116	281
5	75	155210	0	107	263
15	75	155210	0	125	306
25	75	155210	0	94	285
35	75	155210	0	135	324
45	75	155210	0	121	321
55	75	155210	0	126	301
65	75	155210	0	124	280
75	75	155210	0	116	322
85	75	155210	0	133	307
95	75	155210	0	116	292
5	85	155210	0	118	308
15	85	155210	0	131	286
25	85	155210	0	110	292
35	85	155210	0	139	260
45	85	155210	0	130	304
55	85	155210	0	131	301
65	85	155210	0	125	299
75	85	155210	0	126	322
85	85	155210	0	142	272
95	85	155210	0	132	341
5	95	155210	0	134	296
15	95	155210	0	109	304
25	95	155210	0	106	325
35	95	155210	0	139	271
45	95	155210	0	129	345
55	95	155210	0	133	314
65	95	155210	0	122	288
75	95	155210	0	128	305
85	95	155210	0	133	306
95	95	155210	0	139	290
