species	kingdom	diet	carbon_0	carbon_min	carbon_max	carbon_breed	burn	small_meal	big_meal	mobility	spawn_odds	init_num
lichen	plant	carbon	1	1	4.5	2	0	1	1	0	0.9	10000
grass	plant	carbon	5	5	22.5	10	0	0.9	0.9	0	0.8	10000
tulip	plant	carbon	25	25	112.5	50	0	0.75	0.75	0	0.4	5000
shrub	plant	carbon	125	125	562.5	250	0	0.6	0.6	0	0.3	2500
cactus	plant	carbon	625	625	2812.5	1250	0	0.5	0.5	0	0.2	1500
palm	plant	carbon	3125	3125	14062.5	6250	0	0.4	0.4	0	0.1	750
beetle	animal	herbivore	2	1	9	6	0.2	0.05	0.8	1	0.7	5000
mouse	animal	herbivore	10	5	45	30	1	0.05	0.8	4	0.35	5000
rabbit	animal	herbivore	50	25	225	150	5	0.05	0.8	8	0.25	700
gazelle	animal	herbivore	250	125	1125	750	18.75	0.05	0.8	15	0.2	250
moose	animal	herbivore	1250	625	5625	3750	62.5	0.05	0.8	18	0.1	150
elephant	animal	herbivore	6250	3125	28125	18750	156.25	0.05	0.8	20	0.1	75
scorpion	animal	carnivore	4	2	18	12	0.4	0.05	0.8	2	0.3	500
lizard	animal	carnivore	20	10	90	60	2	0.05	0.7	5	0.25	400
skunk	animal	carnivore	100	50	450	300	10	0.05	0.625	12	0.2	150
dog	animal	carnivore	500	250	2250	1500	37.5	0.05	0.5	17	0.1	25
lion	animal	carnivore	2500	1250	11250	7500	125	0.05	0.5	23	0.07	15
T-rex	animal	carnivore	12500	6250	56250	37500	312.5	0.05	0.5	30	0.05	8
