victim/eater	beetle	mouse	rabbit	gazelle	moose	elephant	scorpion	lizard	skunk	dog	lion	T-rex
lichen	9110	3608	4	0	0	0	0	0	0	0	0	0
grass	1	61345	6415	344	0	0	0	0	0	0	0	0
tulip	0	36726	31937	6516	751	4	0	0	0	0	0	0
shrub	0	0	4166	2603	2058	461	0	0	0	0	0	0
cactus	0	0	0	72	714	1503	0	0	0	0	0	0
palm	0	0	0	0	25	702	0	0	0	0	0	0
beetle	0	0	0	0	0	0	3016	1048	19	0	0	0
mouse	0	0	0	0	0	0	5888	21029	2063	142	1	0
rabbit	0	0	0	0	0	0	3	1651	248	184	102	0
gazelle	0	0	0	0	0	0	0	0	2	28	148	23
moose	0	0	0	0	0	0	0	0	0	0	58	111
elephant	0	0	0	0	0	0	0	0	0	0	2	64
scorpion	0	0	0	0	0	0	0	1921	145	1	0	0
lizard	0	0	0	0	0	0	178	0	491	72	10	0
skunk	0	0	0	0	0	0	0	31	0	32	6	0
dog	0	0	0	0	0	0	0	0	0	0	6	3
lion	0	0	0	0	0	0	0	0	0	0	0	8
T-rex	0	0	0	0	0	0	0	0	0	0	0	0
