x	y	species	carbon	age
6.85655	4.80911	lichen	1	0
9.58746	3.01905	lichen	1	0
4.2349	3.81353	lichen	1	0
4.82399	5.84783	lichen	1	0
0.508449	0.370254	lichen	1	0
4.99389	3.666	lichen	1	0
8.96262	9.26499	lichen	1	0
3.15511	6.70922	lichen	1	0
4.48742	2.62654	lichen	1	0
3.93214	2.69419	lichen	1	0
3.50548	0.444226	lichen	1	0
7.97853	1.21226	lichen	1	0
7.68233	2.2842	lichen	1	0
3.19626	3.04235	lichen	1	0
8.86517	3.09793	lichen	1	0
1.75304	0.701125	lichen	1	0
5.37739	3.46166	lichen	1	0
3.38629	3.86261	lichen	1	0
3.64425	0.95943	lichen	1	0
6.04789	7.68414	lichen	1	0
2.19595	5.70164	lichen	1	0
1.36566	7.53688	lichen	1	0
4.29213	8.94978	lichen	1	0
3.34497	6.09692	lichen	1	0
7.28078	3.42278	lichen	1	0
0.207317	3.3246	lichen	1	0
4.72717	7.63763	lichen	1	0
5.6208	8.61079	lichen	1	0
8.5558	6.19429	lichen	1	0
1.70204	5.08699	lichen	1	0
6.84436	2.10699	lichen	1	0
5.41082	2.89658	lichen	1	0
7.73858	5.43533	lichen	1	0
6.75364	5.25722	lichen	1	0
2.51496	5.49549	lichen	1	0
0.655893	9.56296	lichen	1	0
4.12462	3.98131	lichen	1	0
9.08756	2.53297	lichen	1	0
7.1082	3.48511	lichen	1	0
3.12451	2.5979	lichen	1	0
3.23673	3.63823	lichen	1	0
2.27618	7.93528	lichen	1	0
8.20225	7.4463	lichen	1	0
3.45173	3.03646	lichen	1	0
1.17191	6.5022	lichen	1	0
5.96041	6.12517	lichen	1	0
7.06558	9.79906	lichen	1	0
0.291823	3.15237	lichen	1	0
7.73345	5.72416	lichen	1	0
4.51174	1.38481	lichen	1	0
1.3219	6.62209	lichen	1	0
8.63485	9.4296	lichen	1	0
3.45121	1.92749	lichen	1	0
3.89997	9.40787	lichen	1	0
0.0683228	0.332708	lichen	1	0
9.57939	5.83829	lichen	1	0
8.23	2.18807	lichen	1	0
7.31032	6.27854	lichen	1	0
7.11012	0.137509	lichen	1	0
4.71061	9.43713	lichen	1	0
1.60052	2.92329	lichen	1	0
4.86309	3.22174	lichen	1	0
7.29609	3.75587	lichen	1	0
9.73667	6.81874	lichen	1	0
1.03558	9.47231	lichen	1	0
1.57192	6.87938	lichen	1	0
1.92852	2.01813	lichen	1	0
5.89491	3.68169	lichen	1	0
6.56343	6.31203	lichen	1	0
1.61465	2.08503	lichen	1	0
1.20186	5.11397	lichen	1	0
9.745	0.485905	lichen	1	0
7.22124	5.47008	lichen	1	0
6.69859	7.02116	lichen	1	0
6.85377	1.84334	lichen	1	0
7.95315	3.15129	lichen	1	0
6.09187	9.43099	lichen	1	0
4.94965	1.03001	lichen	1	0
9.59041	2.82009	lichen	1	0
8.02196	4.59659	lichen	1	0
0.702822	8.87681	lichen	1	0
5.68362	2.13846	lichen	1	0
4.76394	1.56037	lichen	1	0
9.28292	3.61799	lichen	1	0
5.85984	9.29101	lichen	1	0
8.16218	6.54528	lichen	1	0
1.34878	7.31926	lichen	1	0
5.75007	8.04625	lichen	1	0
3.47091	7.0799	lichen	1	0
3.78822	4.63894	lichen	1	0
9.17138	7.22769	lichen	1	0
9.7306	1.78427	lichen	1	0
1.32307	1.11909	lichen	1	0
7.26152	8.84759	lichen	1	0
0.027446	7.24869	lichen	1	0
8.42646	0.491466	lichen	1	0
6.08566	0.126812	lichen	1	0
5.86399	4.70696	lichen	1	0
0.226887	2.40636	lichen	1	0
1.25354	3.71131	lichen	1	0
3.52007	5.12219	grass	5	0
8.76689	0.814639	grass	5	0
9.5119	0.181184	grass	5	0
6.15534	6.03559	grass	5	0
7.86687	0.218993	grass	5	0
2.73498	8.51072	grass	5	0
0.769636	4.28811	grass	5	0
6.69116	4.46218	grass	5	0
1.29634	0.222105	grass	5	0
