x	y	free_carbon	bound_carbon	animals	plants
5	5	136826	64889.9	186	258
15	5	140856	46997.9	156	359
25	5	137519	64867.4	175	331
35	5	141397	71722.2	148	293
45	5	142738	41473.3	159	258
55	5	139443	61735.8	153	290
65	5	134020	69680.4	187	273
75	5	141933	32294.4	157	304
85	5	127260	136809	187	339
95	5	140815	49821.7	160	277
5	15	144484	38252.5	175	270
15	15	138411	57024.2	177	301
25	15	144884	45566.6	194	234
35	15	133318	75327.7	172	317
45	15	138434	65225.1	206	234
55	15	139125	59302.8	167	289
65	15	138642	77865.2	154	352
75	15	136106	62804.5	176	294
85	15	134445	87538	148	322
95	15	134698	74038.6	151	295
5	25	141548	46075.8	148	330
15	25	138768	80500.7	149	281
25	25	141353	64299.3	172	259
35	25	136155	78113.6	156	367
45	25	134368	70943.2	179	298
55	25	139253	57171.8	147	299
65	25	139937	57102.7	144	288
75	25	141140	52444.7	153	274
85	25	140943	46497	149	295
95	25	136698	61198.9	143	318
5	35	141497	45615	168	300
15	35	140970	47228.9	132	357
25	35	137117	61137.7	144	302
35	35	131439	84049.3	152	277
45	35	135699	71246	164	262
55	35	138944	63326.8	150	315
65	35	135102	71515.2	128	338
75	35	141567	43298.7	159	314
85	35	140448	53350.2	191	222
95	35	138136	81439.7	159	248
5	45	136522	63035.5	149	317
15	45	133806	71473.4	158	333
25	45	137685	57518.8	142	335
35	45	143991	41471.9	163	297
45	45	134501	84495.9	171	291
55	45	139455	55462	143	324
65	45	141342	58887.1	138	277
75	45	133940	96330.5	156	335
85	45	133389	78789.9	150	295
95	45	143471	56418.1	149	256
5	55	142933	37874.8	161	314
15	55	137548	74862.3	174	310
25	55	143308	41692.2	174	217
35	55	136816	73503	177	270
45	55	135378	89740.5	176	295
55	55	129973	94388.5	168	283
65	55	138055	71222.5	151	317
75	55	134360	73911.5	158	322
85	55	138660	67061	173	339
95	55	136761	70280.7	160	294
5	65	136061	68347.9	156	254
15	65	136110	66322.1	159	328
25	65	138585	57298.8	166	255
35	65	133560	73595.5	184	258
45	65	140663	51019.9	209	232
55	65	137977	54822.6	155	279
65	65	146978	31106.8	172	247
75	65	140882	45609.3	180	220
85	65	138224	60799.1	179	242
95	65	140486	69238.8	165	269
5	75	140166	51328.2	138	273
15	75	135996	65074.2	161	303
25	75	138463	66234.4	155	295
35	75	138831	61844.2	185	325
45	75	138156	59066.6	183	326
55	75	139333	58423.3	138	308
65	75	140032	60060	155	251
75	75	144023	39336.5	166	340
85	75	135970	70418.3	186	287
95	75	135427	77897	159	288
5	85	136828	61291.1	153	328
15	85	141009	59582.6	158	269
25	85	140755	44347.5	141	297
35	85	143323	59335.2	182	203
45	85	138846	65403.8	190	282
55	85	142129	42832.1	171	302
65	85	136286	68007.4	172	296
75	85	136145	84149.1	172	329
85	85	138030	50041	166	219
95	85	138775	75959.4	195	360
5	95	140275	49030.9	185	262
15	95	136338	62050.6	153	342
25	95	133764	83080.4	150	360
35	95	141472	46564.7	195	234
45	95	137862	56238.6	153	377
55	95	135418	66515.4	166	314
65	95	134667	89635.5	161	286
75	95	134486	76476.3	165	302
85	95	134681	77685.7	167	289
95	95	136276	69711.3	181	247
