x	y	species	carbon	age
1.75304	0.701125	lichen	1	1
3.38629	3.86261	lichen	1	1
2.19595	5.70164	lichen	1	1
8.5558	6.19429	lichen	1	1
4.12462	3.98131	lichen	1	1
7.1082	3.48511	lichen	1	1
8.20225	7.4463	lichen	1	1
5.96041	6.12517	lichen	1	1
7.06558	9.79906	lichen	1	1
7.31032	6.27854	lichen	1	1
7.11012	0.137509	lichen	1	1
4.71061	9.43713	lichen	1	1
4.86309	3.22174	lichen	1	1
9.73667	6.81874	lichen	1	1
1.92852	2.01813	lichen	1	1
6.85377	1.84334	lichen	1	1
9.7306	1.78427	lichen	1	1
1.32307	1.11909	lichen	1	1
8.42646	0.491466	lichen	1	1
0.226887	2.40636	lichen	2	1
6.15534	6.03559	grass	4.75	1
7.86687	0.218993	grass	4.75	1
2.73498	8.51072	grass	9.5	1
0.769636	4.28811	grass	9.5	1
6.69116	4.46218	grass	4.75	1
5.83529	3.33001	grass	4.75	1
1.16508	5.4863	grass	4.75	1
0.791995	1.36401	grass	4.75	1
9.6272	4.17419	grass	4.75	1
5.28444	2.6337	grass	4.75	1
0.0502223	0.379767	grass	9.5	1
9.43848	6.84125	grass	4.75	1
4.72379	4.63332	grass	4.75	1
3.23445	9.27533	grass	4.75	1
4.96316	0.962844	grass	9.5	1
0.66821	6.49025	grass	4.75	1
0.939852	9.71328	grass	4.75	1
5.46233	4.69629	grass	4.75	1
1.28471	9.93436	grass	9.5	1
5.24959	4.66142	grass	4.75	1
6.05874	8.34593	grass	4.75	1
3.82327	5.92364	grass	4.75	1
9.30238	2.0136	grass	4.75	1
7.43602	3.10728	grass	4.75	1
2.5939	9.92326	grass	4.75	1
0.0632128	2.74999	grass	4.75	1
8.38465	2.0189	grass	9.5	1
1.60674	3.60024	grass	4.75	1
0.353178	0.621156	grass	4.75	1
6.00173	1.37795	grass	4.75	1
8.90433	8.49204	grass	4.75	1
7.78938	7.88041	grass	4.75	1
8.09199	3.54581	grass	4.75	1
5.73765	0.522099	grass	9.5	1
0.311722	7.97261	grass	4.75	1
